Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/IOUtils.java;137;145;4;0;1;137;96;45;137;96;34;167;136;41;36;0.2482758620689655;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/IteratorIterable.java;57;59;3;0;1;57;51;19;57;51;19;550;234;110;32;0.5423728813559322;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/IteratorUtils.java;73;73;1;0;1;73;73;73;73;73;73;136;136;136;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/Pair.java;72;76;4;0;1;72;72;72;72;72;18;400;234;100;32;0.42105263157894735;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/RandomUtils.java;107;125;6;0;1;114;56;28;107;56;17;415;148;46;42;0.336;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/RefreshHelper.java;92;95;4;0;1;93;86;31;92;86;23;315;234;78;28;0.29473684210526313;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/Retriever.java;34;34;1;0;1;34;34;34;34;34;34;363;148;51;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/RunningAverage.java;52;52;1;0;1;52;52;52;52;52;52;136;136;136;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/RunningAverageAndStdDev.java;30;30;1;0;1;30;30;30;30;30;30;356;148;59;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/WeightedRunningAverage.java;97;97;2;0;1;97;92;48;97;92;48;370;234;185;32;0.32989690721649484;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/eval/AbstractDifferenceRecommenderEvaluator.java;124;174;8;0;1;130;122;32;124;122;15;495;234;61;38;0.21839080459770116;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/eval/AverageAbsoluteDifferenceRecommenderEvaluator.java;75;83;4;0;1;75;72;37;75;72;18;173;136;57;38;0.4578313253012048;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/eval/GenericRecommenderIRStatsEvaluator.java;186;251;15;0;1;198;138;19;186;138;12;528;234;40;42;0.16733067729083664;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/eval/IRStatisticsImpl.java;71;72;3;0;1;71;57;23;71;57;23;375;234;125;32;0.4444444444444444;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/eval/RMSRecommenderEvaluator.java;72;78;3;0;1;72;72;72;72;72;24;173;136;57;36;0.46153846153846156;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/BooleanPreference.java;79;81;2;0;1;79;75;39;79;75;39;374;234;124;29;0.35802469135802467;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/BooleanPrefUser.java;105;105;1;0;1;105;105;105;105;105;105;568;234;81;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/BooleanUserGenericDataModel.java;142;146;3;0;1;143;142;71;142;142;47;23;13;7;3;0.02054794520547945;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/ByItemPreferenceComparator.java;51;51;2;0;1;51;50;25;51;50;25;550;234;110;32;0.6274509803921569;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/ByUserPreferenceComparator.java;50;50;2;0;1;50;49;25;50;49;25;550;234;110;32;0.64;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/ByValuePreferenceComparator.java;58;58;2;0;1;58;57;29;58;57;29;370;234;185;32;0.5517241379310345;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/DetailedPreference.java;55;55;1;0;1;55;55;55;55;55;55;136;136;136;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/file/BooleanPrefUserFileDataModel.java;255;255;1;0;1;255;255;255;255;255;255;563;234;43;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/file/FileDataModel.java;423;634;23;0;2;479;299;43;423;299;18;577;234;33;44;0.0694006309148265;YES
