Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
BOOKKEEPER;1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java;75;81;2;0;2;75;75;75;75;75;37;378;207;189;22;0.2716049382716049;NO
BOOKKEEPER;1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java;28;28;1;0;1;28;28;28;28;28;28;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java;52;54;2;0;2;52;52;52;52;52;26;378;207;189;22;0.4074074074074074;NO
BOOKKEEPER;1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java;429;506;3;0;2;429;428;214;429;428;143;471;207;157;33;0.06521739130434782;NO
BOOKKEEPER;1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java;104;134;2;0;2;104;104;104;104;104;52;378;207;189;22;0.16417910447761194;NO
BOOKKEEPER;1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java;35;35;1;0;1;35;35;35;35;35;35;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java;98;99;2;0;2;98;98;98;98;98;49;378;207;189;22;0.2222222222222222;NO
BOOKKEEPER;1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java;79;94;3;0;2;79;78;39;79;78;26;471;207;157;33;0.35106382978723405;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java;230;250;3;0;2;230;230;230;230;230;76;407;207;135;33;0.132;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java;58;60;2;0;2;58;57;29;58;57;29;378;207;189;22;0.36666666666666664;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java;65;68;2;0;2;65;65;65;65;65;32;378;207;189;22;0.3235294117647059;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java;116;116;1;0;1;116;116;116;116;116;116;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java;166;177;2;0;2;166;166;166;166;166;83;378;207;189;22;0.12429378531073447;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;134;138;3;0;2;134;133;67;134;133;44;471;207;157;33;0.2391304347826087;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java;222;230;4;0;2;222;221;111;222;221;55;500;207;125;33;0.14347826086956522;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java;693;731;3;0;2;693;692;346;693;692;231;407;207;135;33;0.04514363885088919;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java;93;101;3;0;2;93;93;93;93;93;31;407;207;135;33;0.32673267326732675;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java;260;276;3;0;2;260;260;260;260;260;86;407;207;135;33;0.11956521739130435;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java;170;170;1;0;1;170;170;170;170;170;170;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;168;186;8;0;3;168;126;33;168;126;21;542;207;67;33;0.1774193548387097;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java;112;114;2;0;2;112;112;112;112;112;56;378;207;189;22;0.19298245614035087;NO
