Version,File Name,Size(LOC), LOC_Touched,NR,NFix,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Weighted_Age,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,78,1,0,1,78,78,78,78,78,78,27,27,27,0,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,88,2,0,2,87,87,87,87,87,43,490,207,163,22,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,86,2,0,2,85,85,85,85,85,42,490,207,163,22,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,106,2,0,1,105,61,52,105,61,52,450,207,112,1,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,224,4,0,2,216,216,216,216,216,54,45,39,11,1,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,397,4,0,2,377,377,377,377,377,94,45,39,11,1,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,255,2,0,1,253,251,126,253,251,126,37,33,18,0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,193,1,0,1,193,193,193,193,193,193,33,33,33,0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,514,1,0,1,514,514,514,514,514,514,33,33,33,0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,204,1,0,1,204,204,204,204,204,204,33,33,33,0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,144,1,0,1,144,144,144,144,144,144,33,33,33,0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,98,1,0,1,98,98,98,98,98,98,33,33,33,0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,207,7,0,3,185,178,46,181,178,25,654,207,81,33,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,162,4,0,3,154,75,51,154,75,38,524,207,104,32,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,492,11,0,3,396,209,44,393,209,35,698,207,63,34,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,139,3,0,3,132,75,66,132,75,44,523,207,130,34,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,557,8,0,3,534,521,106,533,521,66,663,207,73,33,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,685,9,0,3,605,573,86,603,573,67,664,207,66,33,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,1,0,1,148,148,148,148,148,148,319,207,159,0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,184,3,0,2,174,173,87,174,173,58,583,207,145,33,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,158,3,0,2,148,147,74,148,147,49,583,207,145,33,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,1506,6,0,3,767,763,191,92,763,15,614,207,87,33,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,438,6,0,3,234,209,78,234,209,39,659,207,94,34,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,3,0,3,54,54,54,54,54,18,523,207,130,34,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,2,0,2,38,38,38,38,38,19,490,207,163,22,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,2,0,2,98,98,98,98,98,49,490,207,163,22,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,49,3,0,2,39,38,19,39,38,13,583,207,145,33,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,123,3,0,3,94,94,94,69,94,23,523,207,130,34,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,1,0,1,94,94,94,94,94,94,33,33,33,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,261,291,3,0,1,261,246,87,261,246,87,45,39,15,1,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,90,90,1,0,1,90,90,90,90,90,90,2,2,2,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,617,645,5,0,2,620,607,155,617,607,123,712,207,71,1,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,71,74,4,0,2,71,61,17,71,61,17,157,93,39,14,0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,139,144,4,0,2,139,132,46,139,132,34,372,171,46,4,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,345,348,3,0,1,345,343,115,345,343,115,70,39,23,1,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,47,47,1,0,1,47,47,47,47,47,47,33,33,33,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,47,47,1,0,1,47,47,47,47,47,47,33,33,33,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,47,47,1,0,1,47,47,47,47,47,47,33,33,33,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,46,46,1,0,1,46,46,46,46,46,46,33,33,33,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,47,47,1,0,1,47,47,47,47,47,47,33,33,33,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,136,136,1,0,1,136,136,136,136,136,136,33,33,33,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,261,261,1,0,1,261,261,261,261,261,261,33,33,33,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,113,114,2,0,1,113,113,113,113,113,56,34,27,17,2,0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,258,278,4,0,3,258,256,86,258,256,64,591,207,118,33,0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,257,329,12,0,3,257,176,42,257,176,21,728,207,56,34,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,242,275,6,0,3,242,232,60,242,232,40,656,207,93,33,0,NO
